,Company,y_pred,y_true,Diff,current_volume,current_dividends,current_stock_splits,Diff_perc
152,AGMH,11.38193679708504,22.41,-11.02806320291496,2600.0,0.0,0.0,-0.49210456059415264
153,AGNC,17.018227195667805,14.25,2.768227195667805,16607700.0,0.0,0.0,0.19426155759072317
154,AGNCM,26.153557512572554,23.03,3.123557512572553,54300.0,0.0,0.0,0.1356299397556471
155,AGNCN,26.383496962528497,23.96,2.423496962528496,54200.0,0.0,0.0,0.10114761947113923
156,AGNCO,26.768133284241536,23.1,3.6681332842415344,53400.0,0.0,0.0,0.15879364866846468
157,AGNCP,25.288333333333256,22.02,3.2683333333332563,202100.0,0.0,0.0,0.14842567363002981
158,AGO,50.42930149273961,31.87,18.55930149273961,1173900.0,0.0,0.0,0.582343943920289
159,AGR,51.10585205920132,46.61,4.495852059201319,575200.0,0.0,0.0,0.09645681311309416
160,AGRO,7.024143350441722,5.28,1.744143350441722,769400.0,0.0,0.0,0.3303301800079019
161,AGRX,3.0172754553030536,2.85,0.16727545530305354,1683200.0,0.0,0.0,0.058693142211597736
162,AGS,2.1446013060545077,5.92,-3.775398693945492,1199500.0,0.0,0.0,-0.637736265869171
163,AGTC,4.91412372891586,5.22,-0.3058762710841396,1196700.0,0.0,0.0,-0.0585969867977279
164,AGX,36.70616795200191,42.92,-6.213832047998089,192900.0,0.0,0.0,-0.1447770747436647
165,AGYS,33.55306648022864,23.89,9.663066480228636,242000.0,0.0,0.0,0.4044816442121656
166,AGZD,48.269632316113054,47.05,1.2196323161130564,10000.0,0.0,0.0,0.02592204710123393
167,AHC,2.613303004592475,1.99,0.623303004592475,128300.0,0.0,0.0,0.31321759024747486
168,AHCO,12.21426585223233,16.65,-4.435734147767668,79200.0,0.0,0.0,-0.2664104593253855
169,AHH,19.973071483558904,10.64,9.333071483558903,580600.0,0.0,0.0,0.8771683725149345
170,,,,,,,,
171,AHPI,1.3043332387377418,7.99,-6.685666761262258,176200.0,0.0,0.0,-0.8367542880178045
172,AHT,1.4152064455071147,1.73,-0.31479355449288526,4958500.0,0.0,0.0,-0.18196159219241922
173,AI,4.4813416964307455,3.62,0.8613416964307454,1459600.0,0.0,0.0,0.23793969514661475
174,AIA,65.24292420034074,64.51,0.732924200340733,63800.0,0.0,0.0,0.011361404438703038
175,AIC,24.12915280117665,23.08,1.0491528011766533,5500.0,0.0,0.0,0.045457227087376664
176,AIF,15.286891311783188,12.79,2.4968913117831892,40200.0,0.0,0.0,0.19522215103856055
177,AIG,59.29453468499139,39.44,19.854534684991393,10596700.0,0.0,0.0,0.5034111228446094
178,AIH,6.3028818549871195,7.36,-1.0571181450128808,43600.0,0.0,0.0,-0.1436301827463153
179,AIHS,-1.8528274322273761,0.46,-2.312827432227376,242500.0,0.0,0.0,-5.027885722233426
